Age,Gender,Speed_of_Impact,Age_Cat,Speed_Cat,Helmet_Used,Seatbelt_Used,Survived,Predicted,Correct,P_Survived,P_NotSurvived
33,Male,116,Middle (31-45),High (>80),No,No,1,1,True,0.006046071187743354,0.0045708473707438725
32,Male,82,Middle (31-45),High (>80),No,Yes,1,1,True,0.008436378401502354,0.005046977305196359
64,Female,104,Old (>60),High (>80),No,Yes,0,1,False,0.005171337722074758,0.0038273891607394296
68,Female,51,Old (>60),Medium (51-80),No,No,1,1,True,0.002735473485526053,0.002554126629609629
61,Female,106,Old (>60),High (>80),Yes,Yes,0,1,False,0.005925491139877327,0.005162524914485742
69,Female,52,Old (>60),Medium (51-80),Yes,No,1,0,False,0.003134396702165269,0.003445101035287407
20,Male,86,Young (≤30),High (>80),Yes,Yes,1,1,True,0.006343761102692199,0.005982393112995261
54,Male,37,Senior (46-60),Low (≤50),No,Yes,1,1,True,0.006226850724918404,0.0036222325156911664
68,Female,44,Old (>60),Low (≤50),No,Yes,0,1,False,0.0038169397472456556,0.00362594762596367
24,Male,114,Young (≤30),High (>80),Yes,No,1,0,False,0.004546362123596076,0.005418016404222123
38,Male,73,Middle (31-45),Medium (51-80),No,Yes,1,1,True,0.006226850724918404,0.003718825382776265
26,Male,77,Young (≤30),Medium (51-80),Yes,Yes,0,1,False,0.004682299861510909,0.004408079135891245
56,Female,86,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.009480785823803727,0.008066445178883974
35,Female,65,Middle (31-45),Medium (51-80),Yes,Yes,0,0,True,0.006997722869950369,0.007845679310830307
21,Male,43,Young (≤30),Low (≤50),No,No,1,0,False,0.002928565731563187,0.003805394461767625
42,Female,51,Middle (31-45),Medium (51-80),No,No,0,0,True,0.004376757576841686,0.005267886173569861
31,Female,66,Middle (31-45),Medium (51-80),Yes,Yes,0,0,True,0.006997722869950369,0.007845679310830307
67,Female,105,Old (>60),High (>80),Yes,No,1,0,False,0.0042466019835787515,0.004675494262175766
26,Female,42,Young (≤30),Low (≤50),Yes,Yes,0,0,True,0.004592255633404929,0.00886459870184723
43,Female,85,Middle (31-45),High (>80),Yes,Yes,0,0,True,0.009480785823803727,0.010647707636126845
19,Male,46,Young (≤30),Low (≤50),No,Yes,0,0,True,0.0040863707882277025,0.004201789718201753
37,Female,21,Middle (31-45),Low (≤50),No,No,0,0,True,0.004376757576841686,0.006772996508875536
45,Male,109,Middle (31-45),High (>80),Yes,No,0,1,False,0.006927789902622592,0.006165329011701037
64,Male,36,Old (>60),Low (≤50),Yes,No,0,1,False,0.0031958554610312553,0.002831921459920093
24,Female,52,Young (≤30),Medium (51-80),No,No,1,0,False,0.002872247159802356,0.004629354516167453
61,Male,28,Old (>60),Low (≤50),No,No,0,1,False,0.002789110220536368,0.002099527978906276
25,Male,62,Young (≤30),Medium (51-80),Yes,No,0,0,True,0.003355648234082818,0.003992222613637353
64,Male,67,Old (>60),Medium (51-80),Yes,No,1,1,True,0.0031958554610312553,0.00220260557993785
52,Female,58,Senior (46-60),Medium (51-80),Yes,No,1,0,False,0.005015034723464431,0.005382970367636574
31,Female,112,Middle (31-45),High (>80),No,No,1,0,False,0.005929800587979058,0.007149274092701954
34,Male,61,Middle (31-45),Medium (51-80),No,Yes,1,1,True,0.006226850724918404,0.003718825382776265
53,Female,45,Senior (46-60),Low (≤50),No,No,1,0,False,0.004376757576841686,0.005131057961269345
67,Female,118,Old (>60),High (>80),Yes,No,1,0,False,0.0042466019835787515,0.004675494262175766
57,Female,69,Senior (46-60),Medium (51-80),Yes,No,1,0,False,0.005015034723464431,0.005382970367636574
21,Female,44,Young (≤30),Low (≤50),No,No,0,0,True,0.002872247159802356,0.00595202723507244
19,Male,43,Young (≤30),Low (≤50),No,No,0,0,True,0.002928565731563187,0.003805394461767625
23,Male,32,Young (≤30),Low (≤50),Yes,No,1,0,False,0.003355648234082818,0.005132857646105169
59,Female,79,Senior (46-60),Medium (51-80),No,No,0,1,False,0.004376757576841686,0.003990822858765046
21,Female,26,Young (≤30),Low (≤50),No,No,0,0,True,0.002872247159802356,0.00595202723507244
46,Male,76,Senior (46-60),Medium (51-80),Yes,No,0,1,False,0.005113368737650009,0.003441571218652891
35,Male,55,Middle (31-45),Medium (51-80),No,No,1,1,True,0.004462576352858189,0.0033679927994954848
43,Female,64,Middle (31-45),Medium (51-80),Yes,No,1,0,False,0.005015034723464431,0.007105520885280277
61,Male,39,Old (>60),Low (≤50),Yes,Yes,0,1,False,0.00445933320143896,0.0031269132786617697
51,Female,84,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.009480785823803727,0.008066445178883974
27,Female,27,Young (≤30),Low (≤50),Yes,No,0,0,True,0.0032911165372735327,0.008028315805446546
53,Male,35,Senior (46-60),Low (≤50),Yes,No,0,1,False,0.005113368737650009,0.0044248772811251455
31,Male,33,Middle (31-45),Low (≤50),Yes,Yes,0,1,False,0.007134933122302337,0.0064492586372399
48,Female,95,Senior (46-60),High (>80),Yes,No,0,0,True,0.006794563173726004,0.0073054597846496355
65,Female,106,Old (>60),High (>80),No,Yes,1,1,True,0.005171337722074758,0.0038273891607394296
32,Male,34,Middle (31-45),Low (≤50),Yes,Yes,1,1,True,0.007134933122302337,0.0064492586372399
25,Female,111,Young (≤30),High (>80),Yes,Yes,1,0,False,0.006221765696871194,0.009357076407505407
31,Male,117,Middle (31-45),High (>80),No,Yes,0,1,False,0.008436378401502354,0.005046977305196359
40,Female,85,Middle (31-45),High (>80),No,Yes,1,1,True,0.008274140355319615,0.007893990144025075
57,Male,51,Senior (46-60),Medium (51-80),No,No,0,1,False,0.004462576352858189,0.0025515096965874886
38,Male,106,Middle (31-45),High (>80),Yes,Yes,1,1,True,0.00966668358505478,0.006807550783753228
33,Male,82,Middle (31-45),High (>80),No,No,0,1,False,0.006046071187743354,0.0045708473707438725
62,Female,105,Old (>60),High (>80),Yes,No,0,0,True,0.0042466019835787515,0.004675494262175766
35,Female,70,Middle (31-45),Medium (51-80),Yes,Yes,0,0,True,0.006997722869950369,0.007845679310830307
64,Male,44,Old (>60),Low (≤50),Yes,Yes,1,1,True,0.00445933320143896,0.0031269132786617697
41,Female,77,Middle (31-45),Medium (51-80),Yes,No,1,0,False,0.005015034723464431,0.007105520885280277
43,Male,82,Middle (31-45),High (>80),No,Yes,1,1,True,0.008436378401502354,0.005046977305196359
42,Male,81,Middle (31-45),High (>80),No,Yes,1,1,True,0.008436378401502354,0.005046977305196359
62,Female,41,Old (>60),Low (≤50),Yes,No,0,0,True,0.003134396702165269,0.004429415616798093
58,Female,77,Senior (46-60),Medium (51-80),Yes,No,1,0,False,0.005015034723464431,0.005382970367636574
46,Male,77,Senior (46-60),Medium (51-80),Yes,Yes,1,1,True,0.007134933122302337,0.003800068220595901
32,Female,105,Middle (31-45),High (>80),No,No,0,0,True,0.005929800587979058,0.007149274092701954
62,Female,68,Old (>60),Medium (51-80),Yes,Yes,0,1,False,0.00437357679371898,0.0038039657264631785
18,Male,71,Young (≤30),Medium (51-80),Yes,Yes,0,1,False,0.004682299861510909,0.004408079135891245
42,Male,61,Middle (31-45),Medium (51-80),No,Yes,1,1,True,0.006226850724918404,0.003718825382776265
24,Female,89,Young (≤30),High (>80),No,No,0,0,True,0.0038914316358612568,0.006282695414798686
26,Male,34,Young (≤30),Low (≤50),Yes,No,0,0,True,0.003355648234082818,0.005132857646105169
41,Male,73,Middle (31-45),Medium (51-80),No,No,0,1,False,0.004462576352858189,0.0033679927994954848
18,Female,79,Young (≤30),Medium (51-80),No,No,1,0,False,0.002872247159802356,0.004629354516167453
61,Male,116,Old (>60),High (>80),Yes,No,0,1,False,0.004329868689139119,0.002989250429915653
25,Male,27,Young (≤30),Low (≤50),No,Yes,1,0,False,0.0040863707882277025,0.004201789718201753
41,Female,72,Middle (31-45),Medium (51-80),Yes,Yes,1,0,False,0.006997722869950369,0.007845679310830307
28,Female,79,Young (≤30),Medium (51-80),No,Yes,0,0,True,0.004007786734607939,0.005111578944934896
68,Male,24,Old (>60),Low (≤50),Yes,Yes,0,1,False,0.00445933320143896,0.0031269132786617697
34,Male,87,Middle (31-45),High (>80),Yes,No,1,1,True,0.006927789902622592,0.006165329011701037
25,Female,25,Young (≤30),Low (≤50),Yes,Yes,0,0,True,0.004592255633404929,0.00886459870184723
52,Female,115,Senior (46-60),High (>80),No,No,0,1,False,0.005929800587979058,0.00541611673689542
52,Female,113,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.009480785823803727,0.008066445178883974
50,Female,66,Senior (46-60),Medium (51-80),No,No,1,1,True,0.004376757576841686,0.003990822858765046
22,Male,118,Young (≤30),High (>80),Yes,No,0,0,True,0.004546362123596076,0.005418016404222123
59,Female,74,Senior (46-60),Medium (51-80),Yes,Yes,1,1,True,0.006997722869950369,0.005943696447598718
56,Female,59,Senior (46-60),Medium (51-80),No,Yes,0,1,False,0.00610710359559305,0.004406533573219739
58,Male,71,Senior (46-60),Medium (51-80),Yes,Yes,0,1,False,0.007134933122302337,0.003800068220595901
45,Female,35,Middle (31-45),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.010087301971067537
24,Male,32,Young (≤30),Low (≤50),No,No,1,0,False,0.002928565731563187,0.003805394461767625
26,Female,49,Young (≤30),Low (≤50),Yes,Yes,0,0,True,0.004592255633404929,0.00886459870184723
25,Female,38,Young (≤30),Low (≤50),Yes,Yes,0,0,True,0.004592255633404929,0.00886459870184723
29,Female,36,Young (≤30),Low (≤50),Yes,No,0,0,True,0.0032911165372735327,0.008028315805446546
51,Male,82,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.00966668358505478,0.005157235442237294
50,Male,38,Senior (46-60),Low (≤50),No,Yes,1,1,True,0.006226850724918404,0.0036222325156911664
65,Female,111,Old (>60),High (>80),No,Yes,1,1,True,0.005171337722074758,0.0038273891607394296
40,Male,77,Middle (31-45),Medium (51-80),Yes,Yes,1,1,True,0.007134933122302337,0.00501609005118659
41,Male,74,Middle (31-45),Medium (51-80),No,Yes,1,1,True,0.006226850724918404,0.003718825382776265
54,Male,109,Senior (46-60),High (>80),Yes,No,0,1,False,0.006927789902622592,0.004670703796743209
52,Male,109,Senior (46-60),High (>80),No,Yes,1,1,True,0.008436378401502354,0.003823467655451787
61,Male,81,Old (>60),High (>80),Yes,Yes,1,1,True,0.006041677240659236,0.0033006306830318678
57,Male,42,Senior (46-60),Low (≤50),Yes,Yes,1,1,True,0.007134933122302337,0.004885801997909015
39,Female,28,Middle (31-45),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.010087301971067537
44,Female,31,Middle (31-45),Low (≤50),Yes,Yes,1,0,False,0.006997722869950369,0.010087301971067537
52,Male,20,Senior (46-60),Low (≤50),Yes,No,1,1,True,0.005113368737650009,0.0044248772811251455
18,Female,77,Young (≤30),Medium (51-80),Yes,Yes,0,0,True,0.004592255633404929,0.006894687879214511
52,Female,20,Senior (46-60),Low (≤50),No,No,1,0,False,0.004376757576841686,0.005131057961269345
54,Female,53,Senior (46-60),Medium (51-80),Yes,No,0,0,True,0.005015034723464431,0.005382970367636574
64,Female,115,Old (>60),High (>80),No,Yes,0,1,False,0.005171337722074758,0.0038273891607394296
31,Male,67,Middle (31-45),Medium (51-80),Yes,Yes,0,1,False,0.007134933122302337,0.00501609005118659
20,Female,108,Young (≤30),High (>80),No,Yes,0,0,True,0.005429904608178497,0.006937142853840216
18,Female,20,Young (≤30),Low (≤50),No,Yes,0,0,True,0.004007786734607939,0.0065720300720591525
22,Male,35,Young (≤30),Low (≤50),No,No,1,0,False,0.002928565731563187,0.003805394461767625
43,Male,80,Middle (31-45),Medium (51-80),Yes,Yes,0,1,False,0.007134933122302337,0.00501609005118659
31,Female,83,Middle (31-45),High (>80),Yes,Yes,0,0,True,0.009480785823803727,0.010647707636126845
56,Female,82,Senior (46-60),High (>80),No,Yes,1,1,True,0.008274140355319615,0.00598029556365536
44,Female,88,Middle (31-45),High (>80),Yes,Yes,0,0,True,0.009480785823803727,0.010647707636126845
26,Female,41,Young (≤30),Low (≤50),No,Yes,1,0,False,0.004007786734607939,0.0065720300720591525
32,Female,112,Middle (31-45),High (>80),Yes,Yes,1,0,False,0.009480785823803727,0.010647707636126845
32,Female,86,Middle (31-45),High (>80),No,No,1,0,False,0.005929800587979058,0.007149274092701954
43,Male,95,Middle (31-45),High (>80),No,No,0,1,False,0.006046071187743354,0.0045708473707438725
59,Female,45,Senior (46-60),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.007641895432626921
30,Female,35,Young (≤30),Low (≤50),No,Yes,0,0,True,0.004007786734607939,0.0065720300720591525
68,Male,70,Old (>60),Medium (51-80),Yes,Yes,1,1,True,0.00445933320143896,0.002432043661181376
49,Male,105,Senior (46-60),High (>80),No,No,0,1,False,0.006046071187743354,0.0034627631596544483
56,Male,76,Senior (46-60),Medium (51-80),No,Yes,0,1,False,0.006226850724918404,0.002817291956648685
66,Male,48,Old (>60),Low (≤50),Yes,No,0,1,False,0.0031958554610312553,0.002831921459920093
69,Female,97,Old (>60),High (>80),Yes,Yes,1,1,True,0.005925491139877327,0.005162524914485742
49,Female,111,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.009480785823803727,0.008066445178883974
21,Female,88,Young (≤30),High (>80),No,Yes,0,0,True,0.005429904608178497,0.006937142853840216
47,Female,66,Senior (46-60),Medium (51-80),Yes,Yes,0,1,False,0.006997722869950369,0.005943696447598718
54,Female,113,Senior (46-60),High (>80),No,No,0,1,False,0.005929800587979058,0.00541611673689542
40,Female,81,Middle (31-45),High (>80),No,No,0,0,True,0.005929800587979058,0.007149274092701954
56,Male,88,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.00966668358505478,0.005157235442237294
62,Female,95,Old (>60),High (>80),Yes,Yes,1,1,True,0.005925491139877327,0.005162524914485742
32,Male,35,Middle (31-45),Low (≤50),No,No,1,1,True,0.004462576352858189,0.004330276456494194
60,Male,109,Senior (46-60),High (>80),No,No,1,1,True,0.006046071187743354,0.0034627631596544483
46,Female,109,Senior (46-60),High (>80),Yes,No,0,0,True,0.006794563173726004,0.0073054597846496355
53,Male,67,Senior (46-60),Medium (51-80),Yes,No,0,1,False,0.005113368737650009,0.003441571218652891
30,Female,104,Young (≤30),High (>80),Yes,Yes,0,0,True,0.006221765696871194,0.009357076407505407
49,Male,58,Senior (46-60),Medium (51-80),Yes,No,1,1,True,0.005113368737650009,0.003441571218652891
24,Female,119,Young (≤30),High (>80),Yes,Yes,0,0,True,0.006221765696871194,0.009357076407505407
68,Male,52,Old (>60),Medium (51-80),No,No,1,1,True,0.002789110220536368,0.0016329662058159925
39,Female,113,Middle (31-45),High (>80),No,No,1,0,False,0.005929800587979058,0.007149274092701954
45,Female,42,Middle (31-45),Low (≤50),No,No,0,0,True,0.004376757576841686,0.006772996508875536
19,Female,29,Young (≤30),Low (≤50),No,No,0,0,True,0.002872247159802356,0.00595202723507244
59,Female,88,Senior (46-60),High (>80),Yes,No,0,0,True,0.006794563173726004,0.0073054597846496355
62,Female,119,Old (>60),High (>80),Yes,Yes,1,1,True,0.005925491139877327,0.005162524914485742
23,Male,53,Young (≤30),Medium (51-80),Yes,Yes,0,1,False,0.004682299861510909,0.004408079135891245
45,Male,71,Middle (31-45),Medium (51-80),No,No,1,1,True,0.004462576352858189,0.0033679927994954848
45,Male,114,Middle (31-45),High (>80),No,No,0,1,False,0.006046071187743354,0.0045708473707438725
61,Female,29,Old (>60),Low (≤50),Yes,Yes,1,0,False,0.00437357679371898,0.004890813076881229
61,Male,38,Old (>60),Low (≤50),Yes,No,1,1,True,0.0031958554610312553,0.002831921459920093
37,Female,77,Middle (31-45),Medium (51-80),No,No,0,0,True,0.004376757576841686,0.005267886173569861
47,Female,115,Senior (46-60),High (>80),No,Yes,1,1,True,0.008274140355319615,0.00598029556365536
28,Male,20,Young (≤30),Low (≤50),Yes,No,1,0,False,0.003355648234082818,0.005132857646105169
45,Male,88,Middle (31-45),High (>80),Yes,No,0,1,False,0.006927789902622592,0.006165329011701037
42,Female,23,Middle (31-45),Low (≤50),No,Yes,1,0,False,0.00610710359559305,0.007478516978550071
56,Male,35,Senior (46-60),Low (≤50),Yes,Yes,0,1,False,0.007134933122302337,0.004885801997909015
50,Female,43,Senior (46-60),Low (≤50),Yes,Yes,1,0,False,0.006997722869950369,0.007641895432626921
18,Female,99,Young (≤30),High (>80),Yes,No,0,0,True,0.004458932082757689,0.008474333350193576
44,Female,21,Middle (31-45),Low (≤50),No,Yes,0,0,True,0.00610710359559305,0.007478516978550071
69,Female,111,Old (>60),High (>80),No,Yes,1,1,True,0.005171337722074758,0.0038273891607394296
30,Female,51,Young (≤30),Medium (51-80),No,Yes,1,0,False,0.004007786734607939,0.005111578944934896
58,Male,110,Senior (46-60),High (>80),No,Yes,1,1,True,0.008436378401502354,0.003823467655451787
20,Male,103,Young (≤30),High (>80),No,Yes,1,1,True,0.0055363733259859195,0.004435222480324073
56,Female,43,Senior (46-60),Low (≤50),No,Yes,1,1,True,0.00610710359559305,0.005665543165568235
